MAG	Control
MEGAHIT-MetaBAT2-S964.264	435.604729740262
MEGAHIT-MetaBAT2-S964.51	778.901470193298
MEGAHIT-MetaBAT2-S965.107	457.792208757075
MEGAHIT-MetaBAT2-S965.170	1061.69276138381
MEGAHIT-MetaBAT2-S965.5	332.569659473441
MEGAHIT-MetaBAT2-S966.102	3461.98876424197
MEGAHIT-MetaBAT2-S966.75	1304.2666935136
MEGAHIT-MetaBAT2-S966.83	493.188049109242
MEGAHIT-MetaBAT2-S967.21	1048.10580903106
MEGAHIT-MetaBAT2-S967.229	4914.41063408621
MEGAHIT-MetaBAT2-S967.46	363.839015806237
MEGAHIT-MetaBAT2-S968.115	501.192557517183
MEGAHIT-MetaBAT2-S968.13	2989.20351403455
MEGAHIT-MetaBAT2-S968.138	508.930077394297
MEGAHIT-MetaBAT2-S968.143	416.715772220691
MEGAHIT-MetaBAT2-S968.150	248.37053427398
MEGAHIT-MetaBAT2-S968.154	259.742514195483
MEGAHIT-MetaBAT2-S968.183	54.7026844384846
MEGAHIT-MetaBAT2-S968.197	306.43382022986
MEGAHIT-MetaBAT2-S968.229	796.65502578957
MEGAHIT-MetaBAT2-S968.241	761.466245381538
MEGAHIT-MetaBAT2-S968.88	628.810574897751
MEGAHIT-MetaBAT2-S969.165	14.5207034396885
MEGAHIT-MetaBAT2-S969.185	99.79192612738
MEGAHIT-MetaBAT2-S969.89	412.966491659982
MEGAHIT-MetaBAT2-S970.110	457.522925933903
MEGAHIT-MetaBAT2-S970.119	1751.26742459169
MEGAHIT-MetaBAT2-S970.122	1234.25227774519
MEGAHIT-MetaBAT2-S970.191	2201.52550255445
MEGAHIT-MetaBAT2-S970.199	238.156285144627
MEGAHIT-MetaBAT2-S970.211	814.977511901214
MEGAHIT-MetaBAT2-S970.215	909.237053963724
MEGAHIT-MetaBAT2-S970.241	1200.98375878963
MEGAHIT-MetaBAT2-S970.243	303.647060048663
MEGAHIT-MetaBAT2-S970.51	421.841740439793
MEGAHIT-MetaBAT2-S971.10	1169.94490991117
MEGAHIT-MetaBAT2-S971.164	83.415907439913
MEGAHIT-MetaBAT2-S971.50	442.101226565635
MEGAHIT-MetaBAT2-S972.107	409.713166787078
MEGAHIT-MetaBAT2-S972.108	252.087264062379
MEGAHIT-MetaBAT2-S972.40	2741.47343982633
MEGAHIT-MetaBAT2-S972.52	189.590958598544
MEGAHIT-MetaBAT2-S972.76	628.706752121789
MEGAHIT-MetaBAT2-S973.125	5355.45226098841
MEGAHIT-MetaBAT2-S973.168	245.965967856587
MEGAHIT-MetaBAT2-S973.204	324.867772514059
MEGAHIT-MetaBAT2-S973.217	176.795914659128
MEGAHIT-MetaBAT2-S973.219	2918.13444802963
MEGAHIT-MetaBAT2-S973.238	236.504782533453
MEGAHIT-MetaBAT2-S973.28	687.323972068051
MEGAHIT-MetaBAT2-S973.44	198.208105299422
MEGAHIT-MetaBAT2-S973.81	215.454355464206
MEGAHIT-MetaBAT2-S973.86	349.591778537429
MEGAHIT-MetaBAT2-S974.62	679.740917167264
MEGAHIT-MetaBAT2-S974.91	1682.91776092283
MEGAHIT-MetaBAT2-S974.98	415.299899655475
MEGAHIT-MetaBAT2-S975.132	2884.18864000154
MEGAHIT-MetaBAT2-S975.14	979.173668188328
