DATASET_COLORSTRIP
SEPARATOR	TAB
DATASET_LABEL	Phylum_Colors
COLOR	#ff0000
COLOR_BRANCHES	1
LEGEND_TITLE	Phylum	Colors
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#1f77b4	#ff7f0e	#2ca02c	#d62728	#e0ba1d	#dd3cf6	#9467bd	#8c564b	#e377c2	#7f7f7f	#bcbd22	#17becf	#aec7e8	#ffbb78	#98df8a	#ff9896	#c5b0d5	#c49c94	#f7b6d2	#dbdb8d
LEGEND_LABELS	Spirochaetota	Bacillota_A	Bacteroidota	Bacillota_I	Methanobacteriota	Thermoplasmatota	Elusimicrobiota	Bacillota	Pseudomonadota	Myxococcota	Verrucomicrobiota	Desulfobacterota	Actinomycetota	Bacillota_C	Fibrobacterota	Bacillota_B	Patescibacteria	Eremiobacterota	Cyanobacteriota	Planctomycetota
LEGEND_POSITION_X	100
LEGEND_POSITION_Y	180
SHOW_LABELS	0
SHOW_STRIP_LABELS	0
STRIP_WIDTH	7
DATA
MEGAHIT-MetaBAT2-S961.221	#ff7f0e	Bacillota_A
group3_bins.183	#1f77b4	Spirochaetota
MEGAHIT-MetaBAT2-S959.81	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S947.111	#2ca02c	Bacteroidota
group3_bins.323	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S945.93	#ff7f0e	Bacillota_A
960_SemiBin_641	#ff7f0e	Bacillota_A
983_SemiBin_12	#ff7f0e	Bacillota_A
973_SemiBin_207	#d62728	Bacillota_I
group7_bins.133	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S966.75	#ffbb78	Bacillota_C
981_SemiBin_196	#1f77b4	Spirochaetota
MEGAHIT-MetaBAT2-S965.5	#d62728	Bacillota_I
group8_bins.297	#1f77b4	Spirochaetota
MEGAHIT-MetaBAT2-S932.53	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S933.161	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S987.67	#2ca02c	Bacteroidota
946_SemiBin_182	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S985.24	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S945.32	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S964.152	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S938.116	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S935.60	#ff7f0e	Bacillota_A
group7_bins.209	#aec7e8	Actinomycetota
group3_bins.32	#98df8a	Fibrobacterota
984_SemiBin_54	#ff7f0e	Bacillota_A
group7_bins.231	#2ca02c	Bacteroidota
954_SemiBin_108	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S968.154	#d62728	Bacillota_I
group4_bins.149	#ff7f0e	Bacillota_A
group9_bins.348	#ff7f0e	Bacillota_A
973_SemiBin_307	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S968.143	#2ca02c	Bacteroidota
group8_bins.283	#aec7e8	Actinomycetota
MEGAHIT-MetaBAT2-S944.143	#d62728	Bacillota_I
MEGAHIT-MetaBAT2-S976.24	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S983.33	#ff7f0e	Bacillota_A
960_SemiBin_192	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S986.76	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S955.226	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S947.8	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S942.153	#ff7f0e	Bacillota_A
group3_bins.202	#17becf	Desulfobacterota
MEGAHIT-MetaBAT2-S942.43	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S957.57	#2ca02c	Bacteroidota
993_SemiBin_2	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S980.38	#ff7f0e	Bacillota_A
957_SemiBin_50	#ffbb78	Bacillota_C
MEGAHIT-MetaBAT2-S967.46	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S948.11	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S960.129	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S948.142	#1f77b4	Spirochaetota
group10_bins.111	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S953.154	#ff7f0e	Bacillota_A
939_SemiBin_272	#ff7f0e	Bacillota_A
group7_bins.41	#ff7f0e	Bacillota_A
968_SemiBin_85	#ff7f0e	Bacillota_A
975_SemiBin_73	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S953.28	#ff9896	Bacillota_B
MEGAHIT-MetaBAT2-S978.92	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S981.154	#2ca02c	Bacteroidota
group3_bins.358	#ff7f0e	Bacillota_A
935_SemiBin_68	#ff7f0e	Bacillota_A
group8_bins.111	#ff7f0e	Bacillota_A
group3_bins.240	#ff7f0e	Bacillota_A
963_SemiBin_255	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S993.109	#ff7f0e	Bacillota_A
group9_bins.7	#ff7f0e	Bacillota_A
966_SemiBin_69	#ff9896	Bacillota_B
992_SemiBin_141	#ff7f0e	Bacillota_A
954_SemiBin_221	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S983.24	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S973.28	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S968.115	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S964.217	#ff7f0e	Bacillota_A
group3_bins.371	#ff7f0e	Bacillota_A
985_SemiBin_129	#1f77b4	Spirochaetota
MEGAHIT-MetaBAT2-S955.122	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S955.14	#bcbd22	Verrucomicrobiota
945_SemiBin_50	#2ca02c	Bacteroidota
992_SemiBin_359	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S972.40	#ff7f0e	Bacillota_A
978_SemiBin_64	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S970.215	#ff7f0e	Bacillota_A
group3_bins.116	#ff9896	Bacillota_B
MEGAHIT-MetaBAT2-S985.50	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S932.72	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S938.148	#d62728	Bacillota_I
MEGAHIT-MetaBAT2-S932.132	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S960.65	#d62728	Bacillota_I
group9_bins.282	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S956.75	#ffbb78	Bacillota_C
945_SemiBin_110	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S966.102	#ff7f0e	Bacillota_A
966_SemiBin_95	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S970.211	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S976.34	#ff7f0e	Bacillota_A
986_SemiBin_101	#ff7f0e	Bacillota_A
group7_bins.185	#aec7e8	Actinomycetota
MEGAHIT-MetaBAT2-S975.160	#c5b0d5	Patescibacteria
MEGAHIT-MetaBAT2-S938.43	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S937.180	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S976.157	#2ca02c	Bacteroidota
group6_bins.237	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S944.97	#d62728	Bacillota_I
MEGAHIT-MetaBAT2-S974.62	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S970.51	#ff7f0e	Bacillota_A
group4_bins.25	#2ca02c	Bacteroidota
group10_bins.232	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S941.86	#2ca02c	Bacteroidota
933_SemiBin_252	#d62728	Bacillota_I
947_SemiBin_9	#8c564b	Bacillota
MEGAHIT-MetaBAT2-S962.24	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S945.103	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S947.59	#2ca02c	Bacteroidota
group7_bins.394	#ff7f0e	Bacillota_A
group9_bins.155	#ff7f0e	Bacillota_A
group3_bins.187	#1f77b4	Spirochaetota
MEGAHIT-MetaBAT2-S938.161	#ff7f0e	Bacillota_A
945_SemiBin_201	#e0ba1d	Methanobacteriota
group10_bins.334	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S960.89	#bcbd22	Verrucomicrobiota
MEGAHIT-MetaBAT2-S986.109	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S968.13	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S954.74	#1f77b4	Spirochaetota
941_SemiBin_67	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S987.82	#aec7e8	Actinomycetota
group3_bins.134	#ff7f0e	Bacillota_A
group8_bins.266	#8c564b	Bacillota
MEGAHIT-MetaBAT2-S953.167	#ff7f0e	Bacillota_A
946_SemiBin_333	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S983.173	#ff7f0e	Bacillota_A
944_SemiBin_44	#2ca02c	Bacteroidota
933_SemiBin_193	#d62728	Bacillota_I
MEGAHIT-MetaBAT2-S945.152	#d62728	Bacillota_I
MEGAHIT-MetaBAT2-S980.41	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S945.135	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S954.101	#dd3cf6	Thermoplasmatota
988_SemiBin_31	#2ca02c	Bacteroidota
932_SemiBin_176	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S962.15	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S972.108	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S947.6	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S963.73	#d62728	Bacillota_I
MEGAHIT-MetaBAT2-S973.217	#ff7f0e	Bacillota_A
group3_bins.177	#7f7f7f	Myxococcota
group7_bins.282	#2ca02c	Bacteroidota
group9_bins.360	#ff7f0e	Bacillota_A
970_SemiBin_111	#1f77b4	Spirochaetota
group10_bins.307	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S985.140	#d62728	Bacillota_I
group7_bins.281	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S951.93	#17becf	Desulfobacterota
group6_bins.304	#ff7f0e	Bacillota_A
991_SemiBin_80	#ff7f0e	Bacillota_A
932_SemiBin_172	#ff7f0e	Bacillota_A
983_SemiBin_265	#d62728	Bacillota_I
MEGAHIT-MetaBAT2-S980.126	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S985.88	#8c564b	Bacillota
MEGAHIT-MetaBAT2-S964.235	#2ca02c	Bacteroidota
983_SemiBin_321	#ff7f0e	Bacillota_A
