X932	X933	X934	X935	X937	X938	X939	X940	X941	X942	X943	X944	X945	X946	X947	X948	X949	X950	X951	X952	X953	X954	X955	X956	X957	X958	X959	X960	X961	X962	X963	X964	X965	X966	X967	X968	X969	X970	X971	X972	X973	X974	X975	X976	X978	X979	X980	X981	X982	X983	X984	X985	X986	X987	X988	X989	X990	X991	X992	X993
P21	0	0	0	0	14.3187007904053	0	0	0	15.3973169326782	15.0735883712769	14.4900770187378	0	0	0	0	0	0	0	0	0	0	14.4565324783325	0	0	0	0	0	0	0	0	13.6788892745972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.9700059890747	0	0	0	0	0	0	0	0	0	0	0	0
P24	0	0	0	0	0	0	0	0	14.7063598632813	0	0	0	0	15.0818386077881	0	0	14.9898643493652	0	0	0	0	0	0	0	17.8688373565674	0	0	0	0	0	16.4813899993896	0	0	0	0	0	0	0	0	0	0	0	0	0	15.3099498748779	0	16.7947273254395	0	15.6979513168335	0	0	0	0	0	0	14.6371583938599	0	0	16.9170188903809	16.0741310119629
P26	16.9122085571289	17.0880107879639	17.3946437835693	0	16.716028213501	17.145881652832	17.0664234161377	17.2813453674316	15.9556064605713	16.0627689361572	15.9992647171021	0	0	0	15.4272680282593	16.6372184753418	17.2183380126953	16.3850936889648	17.1546115875244	16.7115859985352	16.5290603637695	0	17.1992073059082	0	16.3706607818604	15.5396060943604	15.8926315307617	16.5955181121826	16.8341217041016	16.8060989379883	16.1791305541992	0	15.3572206497192	0	0	15.7167205810547	15.7529020309448	0	16.0943698883057	15.9074087142944	0	15.6029634475708	15.6560316085815	0	16.4948787689209	16.908447265625	16.0458106994629	15.6835985183716	16.5334167480469	16.5643844604492	16.3776245117188	15.8268737792969	16.7368831634521	16.569616317749	0	17.4150238037109	16.6105442047119	17.3777370452881	16.8136730194092	15.6587600708008
P28	0	0	0	14.2175168991089	0	0	0	0	13.5088453292847	0	14.7385225296021	0	0	0	14.4978036880493	15.6633100509644	16.0424556732178	16.3461894989014	0	16.1581573486328	14.5565376281738	0	14.6580457687378	14.6878681182861	15.2832193374634	15.0550689697266	13.8635215759277	14.8792114257813	0	0	14.5865364074707	15.2877101898193	15.2631053924561	15.1487913131714	15.1319952011108	15.0858945846558	15.1595849990845	15.5238428115845	16.0551261901855	14.8367204666138	0	0	16.157413482666	15.3691596984863	15.9731702804565	15.0753736495972	15.5926265716553	16.2021617889404	15.355541229248	15.743218421936	16.0398464202881	15.7544326782227	16.3645782470703	16.4658432006836	15.5202436447144	15.2894153594971	15.660382270813	15.4531440734863	15.4778289794922	16.3435840606689
P29	0	13.9281282424927	14.0036296844482	0	0	0	14.6408367156982	14.3685007095337	0	0	0	0	0	0	0	0	0	0	15.8922634124756	14.2578172683716	15.9116973876953	0	0	0	0	0	0	15.0822429656982	14.2985429763794	0	0	0	0	0	0	0	14.3854370117188	0	0	0	0	0	0	0	0	0	0	0	0	14.9861621856689	0	0	14.7347621917725	0	0	0	0	14.4783315658569	0	0
P31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.1956605911255	0	0	0	0	13.5897121429443	0	0	0	0	0	0	0	0	0	0	0	0	0	13.9627285003662	0	0	0	0	0	0	0	0	0	0	14.7639846801758	0	0	0	0	0	0	0	0	0	15.0408735275269
P32	15.208080291748	0	15.6265420913696	15.923996925354	15.5621128082275	0	15.8886747360229	16.2526111602783	16.0891933441162	16.0161304473877	16.2174682617188	15.5928754806519	15.760687828064	0	16.8807849884033	14.543267250061	15.7640619277954	15.9779052734375	16.1762771606445	16.0449905395508	14.9591951370239	15.4301071166992	0	15.6201391220093	14.1702661514282	14.7202854156494	15.5426273345947	0	16.1442127227783	15.307993888855	16.7952365875244	0	14.9547328948975	15.5562648773193	0	0	15.6046161651611	0	16.0615692138672	0	0	0	0	0	16.7892227172852	14.6604509353638	16.4742336273193	15.8072862625122	16.3530807495117	15.7143564224243	15.4997797012329	16.7057342529297	16.5080680847168	15.4417839050293	15.7894172668457	16.2016544342041	16.66650390625	15.1614418029785	16.6580390930176	16.8068428039551
P33	0	0	0	15.5125579833984	12.8633975982666	0	0	14.5386295318604	15.4606904983521	0	15.4253873825073	0	0	0	15.813268661499	0	15.3783054351807	16.8600082397461	0	14.4906635284424	0	0	13.6014471054077	0	0	0	0	0	14.5942096710205	0	0	0	0	15.2526473999023	0	14.3791618347168	0	14.0192651748657	15.3903636932373	0	0	0	15.6308193206787	0	14.5294847488403	0	15.4859657287598	15.6228141784668	0	16.7299480438232	0	15.9177713394165	15.5371103286743	0	0	0	0	0	13.9104156494141	16.1963539123535
P34	14.3811616897583	13.6884231567383	13.248176574707	0	13.2584848403931	0	14.4206809997559	14.238941192627	16.1260147094727	16.4648056030273	15.1990909576416	15.4977779388428	16.5381603240967	16.4589710235596	15.4524126052856	13.4702634811401	15.6588459014893	13.9889526367188	13.2336978912354	13.7987775802612	15.7307729721069	12.7866897583008	13.3328542709351	14.0692949295044	12.847487449646	0	14.1940450668335	13.9702186584473	14.3463926315308	14.4062480926514	16.0084648132324	0	0	0	0	14.0616455078125	0	0	13.7620868682861	0	0	13.0969581604004	0	0	16.1821689605713	14.2512645721436	13.2163305282593	13.7799959182739	15.6463832855225	14.6241188049316	15.8777475357056	14.2743396759033	14.6505575180054	14.1185522079468	14.0896492004395	16.1960887908936	14.1593208312988	16.275728225708	15.8090381622314	15.2423706054688
P37	15.9801425933838	0	16.0808925628662	16.9668216705322	15.2091608047485	16.2152328491211	16.3057556152344	16.0305843353271	16.7241973876953	17.176118850708	15.8252620697021	15.9369096755981	17.2329139709473	15.5768823623657	16.5922088623047	0	16.15505027771	16.2364978790283	14.751932144165	15.2126836776733	0	0	15.9264526367188	15.0889921188354	0	0	15.0469598770142	0	16.0105247497559	15.7915229797363	16.2970523834229	0	0	0	0	0	0	0	0	0	15.9560518264771	0	0	0	16.363842010498	15.376558303833	16.2378330230713	16.2231979370117	16.5020923614502	15.4764595031738	16.2609786987305	16.720401763916	15.8886995315552	14.6912326812744	15.1189126968384	15.9221563339233	16.2943210601807	16.0955047607422	15.225227355957	16.593713760376
