"Bin"	"X932"	"X933"	"X934"	"X935"	"X937"	"X938"	"X939"	"X940"	"X941"	"X942"	"X943"	"X944"	"X945"	"X946"	"X947"	"X948"	"X949"	"X950"	"X951"	"X952"	"X953"	"X954"	"X955"	"X956"	"X957"	"X958"	"X959"	"X960"	"X961"	"X962"	"X963"	"X964"	"X965"	"X966"	"X967"	"X968"	"X969"	"X970"	"X971"	"X972"	"X973"	"X974"	"X975"	"X976"	"X978"	"X979"	"X980"	"X981"	"X982"	"X983"	"X984"	"X985"	"X986"	"X987"	"X988"	"X989"	"X990"	"X991"	"X992"	"X993"
"11"	"933_SemiBin_252"	19.3030478062961	19.5242523100953	19.4103073267448	18.1746106838841	19.6092344254479	19.0353991026331	19.2903763830337	18.9191855397295	19.5963662675337	19.3929175464739	19.0438433404221	19.6636601874154	18.4522495633262	17.3271678348984	19.2745811688549	18.8668934557421	19.5261230679926	18.9142030588855	18.9618561617016	19.3801195358808	19.1274132901067	18.3223153529805	19.240559522331	19.1806223650538	18.9971001037652	18.5279597061666	18.8270256033058	19.2998543834878	19.1522101145369	18.1774245958282	19.8316032581761	18.372355637584	18.8292835908001	18.2825874647949	18.855285550414	18.444971283712	17.995223000615	18.3263640714448	19.0402082395705	18.521180776799	16.1805156406361	19.2994105627847	19.2379493572553	0	19.178484863443	19.0403014599379	19.6575729260185	18.6484503238379	19.6860228521145	20.0396909213213	19.4414275311163	19.3358245395293	19.927161706017	19.324151433376	18.6650921824132	19.2383290410718	19.5507108053747	18.8458488433293	19.3774329463652	19.5354480477442
"12"	"934_SemiBin_124"	17.0453345077832	17.5215318270723	17.9455635555737	17.8149557378124	17.7290261067274	17.2785655114322	18.215526427459	17.4155299239086	18.2512625292897	18.4636422272979	17.0686871524218	17.5828028880323	17.4609675634075	15.0691852619167	17.6313587916118	17.3216751696447	18.021283076307	18.1499263914371	18.1884865591423	17.9216368224725	17.9903366689979	17.177856424834	18.559001794894	17.6948280852084	16.4852654313859	14.8136849702252	17.5713797098944	17.4507589845622	18.0227341856046	16.5121023044285	18.199046866311	16.6532127486372	16.300342983912	16.1285270938242	16.2082824819463	16.8306131700589	17.5165842350359	15.5229392124447	17.1033456904008	16.6402865963672	14.9660723357502	16.3451180215	17.0401943480083	0	18.6047699982114	17.6339034966677	17.6485342133973	17.8688292742813	16.8858612567788	17.8430498809143	18.2339092636666	17.8119974087749	17.856611615362	14.3954851111352	16.3474466154497	18.047500385565	17.6772622194745	18.3318696400518	17.7839141306085	17.5498801723363
"13"	"935_SemiBin_113"	18.4176699385364	19.6383765878352	19.741712251495	22.0618539283202	20.1447540181635	19.4137177229222	20.65639401258	19.9886092964618	20.1716592895398	21.4042488138664	21.7936638060676	20.9031344941024	20.4500387650598	19.5810670698059	21.0857265167822	20.2433926865199	20.2503545409614	20.3823520795939	18.9547156339093	20.6759711332182	20.4204590843626	20.8425097206073	21.7525319103267	19.2987150152136	18.8242127052294	20.145024918977	20.9502044858914	19.8865421046434	20.8851616817083	19.7528313008694	20.8247886706419	20.5859385193763	19.9809813406607	20.5155009083529	19.5895915253378	19.8530470707525	20.4735758397671	21.1510182747348	20.3606681023748	20.5873444842392	19.3524542408804	19.5664710208357	20.6422452111918	16.2951936558986	19.8427522300973	19.3299378559417	19.527156840589	22.2219322935283	19.7484650654636	19.8894845659005	19.5849802606711	21.2608165090261	20.5311641642149	20.2981597893811	20.5375803244668	20.8651135057845	20.4140109188093	19.7908169107377	20.7781072916666	21.2175785609047
"14"	"935_SemiBin_192"	18.7992585853957	20.0618621949135	20.3063748089676	23.8177089578302	19.3848120215142	18.3897463264414	20.6525945626651	19.8365179285709	20.874832610662	22.1695203401903	19.6905017220539	19.8551425048696	21.0462771283218	20.4368037153922	22.5662633661276	20.5705344217694	19.4454369980744	20.1039442015799	22.0631680114967	19.6183918856374	21.1758628666254	21.46271245194	19.9020200692116	18.8428349548789	18.7305336495089	19.4647629432435	19.6987104450106	18.9319842629937	19.8542534382495	20.8244059247902	22.209080393639	22.4730913194475	19.2141461838741	19.2433113176625	19.5550645056553	20.0099768694144	21.0859944790276	20.8542333644294	18.8005095984495	21.3872522099893	18.949665069271	18.4378043256393	19.3973127509552	19.6731866557786	21.3642934086046	20.1513866097754	22.2161126045605	23.4550819589146	19.9820865212562	18.850339933654	20.1226632527521	23.2263511478694	19.46059834205	19.3886928673673	20.8393516213676	19.8965587434609	19.801766607551	20.3005956437595	20.6985023118684	20.1361968028105
"15"	"935_SemiBin_210"	13.8409653629319	13.921739084877	15.8949377948515	19.7966811843918	0	0	14.4521355560882	15.7132104421781	15.1982271575929	15.705933333298	15.8656275302902	16.0266195881675	14.8449949298335	0	17.0898028336663	15.2013112583812	0	12.7821958290237	15.991963648942	14.4815970692881	0	15.6316057401625	17.4788744994004	13.5580019354281	15.6368064165884	14.0623211206785	15.1974690066837	15.5142133341082	18.9653486390029	0	16.4244105911965	16.2835352972242	16.6862322656588	0	16.498407361883	14.0717676680334	17.0489052858267	0	16.4670314178213	15.0614931492377	0	16.1064990606756	15.0503335800141	15.8888558692221	18.4493475560488	17.0411195534812	16.6021346116304	15.750068481113	16.8392063817458	15.9455475884548	17.8404241256069	17.1046523407521	15.9477156974814	15.7536497913261	18.2425378171621	17.592917775902	18.1928622500731	16.5234841356762	18.7597022557972	17.4030327975096
"16"	"935_SemiBin_236"	17.3188332823696	19.7471544178263	18.7054144277319	22.328457122539	18.0074475091621	16.801855457451	16.35165629481	16.5035642249162	19.89664375609	18.6323533450152	17.7808389213892	19.496282686006	20.6296993361766	18.6354930115837	19.1950712213519	19.6099519505406	18.9883116130646	19.4578773484225	21.4631891585173	18.0646159952369	21.3184207502812	22.0176444208243	19.3712674216456	16.2203716070237	17.0120803361908	19.1558651341131	16.0358384872788	18.4722827973249	17.8504947701886	21.3189038040809	20.0317272049904	21.2381924478566	17.2891617094765	16.9541669048272	19.3757911841301	20.8187425543136	20.2011686257392	20.8984425880104	16.4181429411218	21.7125117958925	18.5837027072426	17.1050633929347	16.5337917640364	19.068958970875	18.2459109626933	20.3940295186616	18.7294784862694	18.2459326790705	18.1513010325626	16.7348934815745	17.534038238083	18.6064519995345	16.8227198567717	17.1045096163532	20.9282798883577	18.9131822798366	19.5453859492549	19.7106498436002	19.8572245761468	18.979630390849
"17"	"935_SemiBin_68"	22.7998691913986	22.4870558185237	22.967563193085	23.868681176264	23.1092089102301	22.5811807164146	22.5393466052746	22.8992015953186	23.5675216303035	23.6988709065812	23.9549006738691	23.2161344193476	22.3223263442949	22.1475347665901	23.110181091152	23.0012504440079	23.3211184062899	23.1230001796733	23.0638670395473	23.4928548608502	22.9056751311785	21.9432563129207	23.518888705484	22.94472768751	23.3390657024893	22.5637330973723	23.2635791159911	22.5893747835929	22.5630539241744	21.4854313077281	22.8221747687768	23.3510485663623	22.6852985318882	22.9191295551274	22.2142332132052	22.2928991564822	22.739137764129	23.0492198382462	23.0404138008601	21.5415096922113	20.7246068885174	22.7320821194859	23.3192682949147	21.046400352036	23.6024843869295	22.8289666818415	24.0976375766218	23.6118089854684	22.2372858686764	23.6676272853609	23.0921664477452	23.1289471853557	23.8033706803461	23.2536965628971	22.4156063633534	22.3737142554867	22.6666030840353	22.3426526973714	22.8768521777563	23.4824663224822
"18"	"935_SemiBin_76"	18.0165819256708	18.0716794215034	18.5074176069967	20.0295494018713	19.0168693056547	17.5879783052686	17.8195439310189	17.5707738573176	18.7767272399788	18.2976905359817	19.2763320305485	18.2298042507394	18.1388109871195	16.605966086834	19.0539400583989	18.1638543733368	17.8029782963433	17.9947733212155	16.8751078361393	18.9441442268275	17.693443763883	17.6584348162723	18.3815039875934	18.9775514343161	16.9283727380634	19.0509045698555	18.5501104796247	18.1530664797773	18.0126405657249	18.5322835485053	18.4842574501597	18.9001825590101	18.222829099124	18.0609316760808	17.4564522844843	17.5738924556277	18.5583040927769	18.4784507583392	19.0214676990227	17.7763599935577	0	17.4689016074906	18.2400025088706	16.2081298658703	18.7107895164723	18.5361260050934	18.7285829904619	20.3078679670561	18.3698367117032	19.0346158212288	17.7962809789772	17.8544447778493	19.0390381420447	18.6528115846754	19.4183680949004	17.9920536976708	18.8545932063789	17.9565996572529	18.4972633076685	18.7822257824219
"19"	"937_SemiBin_148"	21.5747490852934	22.4137800458063	22.4837045981691	21.8387363061941	23.0864404841226	22.0292976189428	22.7352837588504	21.8664590343999	22.5025632498666	22.1030875124741	22.253942884575	22.3863530323173	22.5665131382998	21.2672567911076	22.5851374683738	21.8793498035704	22.4197342061951	22.2322186754211	21.6646731502547	22.091302086417	21.8206482803631	21.8475988806011	22.8153236088184	22.3408678326863	21.4353312336145	20.9058206102736	21.9869697558485	21.1288975513639	22.3548721662552	22.1780401843623	22.3616314611585	21.5723030740833	21.4728115399467	21.3504613016053	20.7359059644585	20.2462296247432	21.1590928661992	20.7224350134861	21.9226164363403	21.2690299614012	20.9272645067374	22.2109129784101	22.1985082260569	20.4220607421109	22.0795242059258	21.5875450920731	22.2507029771154	22.3702329780284	22.3514040519846	22.3984534251734	22.6973546969195	21.7993551032199	22.7444248719709	21.9705343807527	22.3405599049088	21.7405984436917	22.4921720118819	22.4212776885522	22.3776596256653	23.1499411370994
"20"	"937_SemiBin_159"	16.107777906952	17.5918497564924	17.706283252104	18.4506024342156	18.4314319472578	15.653240542518	18.4175522214242	17.0130681527029	19.3923354918138	18.9774837501497	18.743045201661	18.4715612397132	19.1717623977094	16.4747646393623	18.8050605553153	17.3328626807345	17.9749763824404	18.2629909375803	17.8759570660725	17.9142908254544	18.0236545441508	18.5258093522219	17.9733459263158	17.7637915166434	16.796971826739	16.4853865786202	18.1263118810788	16.603754306421	17.9796518090898	17.1098159600206	18.33005932404	17.0571482869193	16.5957907514351	18.5584217666283	17.1477228979135	15.9732289463417	16.859704148721	17.3635134088351	16.8584328770615	16.4746145832206	17.8803389261702	16.7502790477467	18.1999981550694	18.3555016617164	18.4014758398311	18.0509578066689	18.3185239524918	18.3766098113124	18.2365202601297	18.1517133088051	18.5549931681228	18.8892612754205	17.9165594122315	17.5639447305394	18.1861834683174	18.323030187006	18.7506832562934	18.3178015374267	18.515246146079	18.9450377424775
