"ko_id"	"mean_control"	"mean_stress"	"log2Fold_change"	"p_value"	"FDR"	"SCORE_neg_log10_p"	"Significance"
"K00930"	12.0423178040133	14.4571068731616	2.41478906914829	0.0978480908389821	0.283276160214032	1.00944764365119	"Not significant"
"K00942"	7.43100240264416	10.1269519215681	2.69594951892392	0.179075771201657	0.321057275511542	0.746963169847392	"Not significant"
"K00945"	10.7357422127202	13.1450316353312	2.40928942261102	0.221385154609945	0.345140831099976	0.654851504898781	"Not significant"
"K00963"	11.8855728718965	13.687415697971	1.80184282607455	0.287484228281036	0.408969210145893	0.541385976220961	"Not significant"
"K00971"	12.9475440247245	14.0871935110358	1.1396494863113	0.476008776701167	0.567458707897767	0.322385039637183	"Not significant"
"K00974"	7.49668271311258	9.59741292685155	2.10073021373897	0.339591429876288	0.453390685632703	0.469043278393933	"Not significant"
"K01000"	9.81986367508227	13.1415947529245	3.32173107784222	0.0757398918431796	0.267756519051241	1.12067531938873	"p < 0.1 & |FC| > 3"
"K01005"	9.72553367611219	8.21017156996329	-1.5153621061489	0.466113428831632	0.562473416522787	0.331508384766483	"Not significant"
"K01039"	12.7649015615315	15.2791092741716	2.51420771264007	0.0563369952630714	0.259541110469249	1.24920631985409	"Not significant"
"K01060"	8.88020804182529	7.64209319432033	-1.23811484750496	0.520598560577387	0.610608592079085	0.283497037022331	"Not significant"
"K01126"	8.03236986309757	12.0270461670334	3.99467630393581	0.0226270425372523	0.252536831478572	1.64537220670313	"p < 0.05 & |FC| > 1"
"K01142"	12.5620568984933	15.0106950688607	2.44863817036744	0.102890768507489	0.283276160214032	0.987623588950946	"Not significant"
"K01153"	1.83974460561727	4.9878737025227	3.14812909690542	0.0399260710303543	0.252536831478572	1.39874342493691	"p < 0.05 & |FC| > 1"
"K01179"	8.05862202825018	5.31330225798701	-2.74531977026316	0.160056175009614	0.316465682144055	0.79572756600052	"Not significant"
