"ko_id"	"X932"	"X933"	"X934"	"X935"	"X937"	"X938"	"X939"	"X940"	"X941"	"X942"	"X943"	"X944"	"X945"	"X946"	"X947"	"X948"	"X949"	"X950"	"X951"	"X952"	"X953"	"X954"	"X955"	"X956"	"X957"	"X958"	"X959"	"X960"	"X961"	"X962"	"X963"	"X964"	"X965"	"X966"	"X967"	"X968"	"X969"	"X970"	"X971"	"X972"	"X973"	"X974"	"X975"	"X976"	"X978"	"X979"	"X980"	"X981"	"X982"	"X983"	"X984"	"X985"	"X986"	"X987"	"X988"	"X989"	"X990"	"X991"	"X992"	"X993"
"15"	"K00031"	16.6594455663686	16.6936037755319	16.6028645396481	16.0732327349965	16.9104704854484	0	16.1306600897414	17.3799817561312	17.4353354685928	17.2940436901797	17.4830197707331	16.5653712241971	15.7532104395305	15.8767129351242	15.9576626405004	16.8354815545142	17.6202698508378	17.3700926621486	17.1931211711831	17.8034164760019	17.3214704585589	15.2361614186328	15.9156451310941	17.7191154865923	16.4524402939896	15.7825359246132	14.9085227862452	16.0268885202964	17.397049572648	16.2839078519285	17.4789171839969	15.9354381387137	15.0675344997223	16.3070300492371	0	16.4360678530076	16.4443844741218	12.4386172594815	16.9946532553066	0	0	17.0773696149466	17.4935274720979	0	17.0126410451396	17.1999730985427	17.2838987287575	17.8760494417296	18.12218659438	18.1767616542094	16.8751109285646	16.6481724811238	17.7027282627174	15.8975265336336	15.6905627301264	16.8255852296023	17.620802979879	17.0910130712398	16.7701257612069	17.983372302574
"16"	"K00033"	17.0497973276092	0	16.8185244452326	17.1840057984203	17.2602012500776	14.971887660399	18.5532718114146	18.766020058566	17.4211242525138	18.5236037410709	17.9926390420283	18.2355994573692	18.5104125479872	14.3163167530667	17.5719098728558	18.6838235089957	18.2977096777492	17.0114759664001	19.2530275996971	18.7731928358699	18.2524079092481	14.8714241756042	15.1099593914958	19.0859423311091	18.5263835393394	18.225915945341	19.038173851628	18.6119021703399	17.8520672323785	16.2019307735782	18.7745100065989	17.3811746528589	18.0874507933235	19.232308374687	18.3793848878551	17.7661046732459	17.4466676262744	17.8897931867887	17.0662543343566	18.2861496024399	0	15.9114251565229	0	15.4119879706812	18.3054905153313	18.7976657375288	18.3270282572908	17.1871946770173	18.9439755824525	16.3719302075782	17.6701631176593	19.6091718137249	17.5644867814152	18.3901885234177	18.9547132396344	18.5541668077357	18.3529030852168	16.2220863097563	18.5510874597015	18.14420227398
"17"	"K00036"	15.6689081554774	14.4610491534584	15.6467890612389	0	15.7782582458533	0	16.7822164747863	17.2294500775536	14.0803044661898	16.0755538039464	15.8430526124765	16.9894024149874	15.8853750154045	0	15.8384941269189	16.2080802754608	17.2448245257198	15.1157594749978	18.1810121532407	17.4328189289701	15.5941062768488	0	0	17.7941392120671	15.7692492962933	14.3362456687162	17.404892651824	16.6024963406828	16.3639579530444	14.9075081097777	17.2473660019444	13.4228723095824	14.7077298494824	17.4267896316391	16.3397819642858	16.0522025429627	14.4406614606856	14.0093695998695	14.7863345496547	16.478020468829	0	0	0	0	16.0619660499728	17.3730829722738	16.6341936628261	14.3656164783169	17.1276550931329	16.5673328190145	16.189098594263	18.2067896342392	16.5855115728089	17.2633749128525	17.53199076724	16.7627725671106	16.859419459167	14.8361088954343	17.2866388052529	16.3844429812418
"18"	"K00038"	0	0	0	0	0	0	0	15.1620819672775	0	0	0	15.2486475543361	15.7184811183836	0	15.4434155947136	0	0	15.200090587671	15.2628521701975	14.9481800607462	15.0230650279153	0	0	0	0	0	14.9611791859775	0	15.2922074338941	16.0510447319493	15.0297567600765	0	0	0	0	15.0151564449917	0	0	0	0	0	0	0	0	15.1992017868273	0	0	0	15.3929645146508	0	0	15.0156761818011	0	0	16.6827625085725	0	0	0	15.1342936166555	0
"19"	"K00041"	18.9684087416722	18.7855837671296	18.5566330589956	18.8989967510983	18.8105946365192	18.0700504929484	17.9818656190333	18.8090261129736	19.1029281788319	18.5856901800269	18.0537429436146	18.6453970332415	18.5863208334195	17.5301180018834	19.3010970821156	18.5954577004905	18.4622641372543	17.9402419454275	18.0488786864632	18.7145327546523	18.8941598190395	17.0573998077995	18.7023524707605	18.7312723081497	19.0254272171495	17.4997563542052	16.4124574578937	17.9788872304009	18.1271575354983	17.8543673666434	19.0577960747528	17.9289847242973	17.3509307359576	17.0756025095805	17.245787645729	17.3076963185867	17.9075370760542	17.8972806596698	18.4419024474374	17.310580233669	0	17.9999516174764	17.9292420954101	0	18.9167188788407	18.6202436145995	18.9480310595683	18.5348407796952	18.4475174563917	19.0404703455884	19.2053877971791	18.6427880470279	19.4486638779085	18.5892270946284	17.8681841139616	18.2384784905903	18.8148531712989	18.1724143667826	18.3957578630917	19.0750422195979
"20"	"K00042"	16.2215685660947	0	0	0	14.7458210577806	14.7300144844823	0	0	0	16.680467989996	15.9234638113008	0	0	0	16.9185359217158	12.8321060848631	0	0	0	0	0	0	14.6753433400654	0	13.1372594022456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.2004643332391	14.6970262104609	16.7637897441872	16.1404256270788	13.9084657513701	15.7357232321381	17.0138873546244	0	16.3493873704199	0	0	0	15.4387655832747	14.7397215793336	16.2573674314169	13.9999411955493
"21"	"K00046"	18.3849679981914	18.2658596074929	18.4576320052748	18.8921326934939	19.0836210587746	18.9295035351202	17.2718105193193	17.7311792668498	19.7525383049869	19.5695298455717	18.7979670007	18.4368527431964	18.3789619735421	18.4828565265693	19.1404169412186	18.5849817085877	18.4505361454404	17.7058481080362	18.0029952347104	18.5313304457352	17.2067975479137	17.2355505764081	18.7904930732736	18.5521743831239	18.2889759434581	16.6310881135164	17.4012651234293	18.1185762301891	17.6462312624564	16.2649645926178	18.4933769927022	17.2866640224191	17.1706767276049	17.6708868725422	15.9205622817399	17.187441803062	17.8246510689957	18.3250728036827	18.2632175002968	16.9394156416904	17.8254433643676	18.3945649411978	17.331162086634	0	19.1535739580435	18.0797834481517	19.0490644522069	18.9610698280244	18.5133662012251	19.4408819979046	19.3668535294543	19.3724821015041	19.3236297869797	18.5711298472918	18.3345937601202	18.1641159824186	19.4085830904008	18.4493418262485	19.290023082825	19.6324485494124
"22"	"K00048"	18.9726035620036	18.1202553466723	19.2098836452577	19.4183960719856	19.7047820535584	19.115156592588	19.0269396468115	18.5044118711417	19.7361825056756	19.9659864092528	19.9020545607352	19.0405639788475	18.6285801207539	18.4880313898274	19.652030380139	18.9558538796083	19.4156851923014	19.1412680350923	19.1406004768242	19.0392582579065	18.6590496134139	18.7213547557664	19.5436562061263	19.1291089046007	18.7253879250596	18.3689190734741	18.8603171147375	18.2110151043736	18.8236112536504	17.9840879516747	19.117090254968	18.6252921616587	18.5892322974674	18.2713386738356	18.1784762123248	18.3642185414546	18.8659736835792	19.258928068423	18.8086514350194	17.7374936563796	16.2841329162466	17.9720141034	18.713309668187	0	19.5181366674014	19.140035773937	19.5313620406	19.6887172621438	19.0332092086011	20.1846249355371	20.001236443891	19.3792683681317	19.9489621026015	19.3855693668643	18.9836527668313	18.6436701647045	19.302103955998	19.4151359028616	19.1119407435261	19.6458500939506
"23"	"K00052"	17.7481878971301	19.0988848828425	18.4583962591171	17.0501197850246	18.3723118334479	17.511152702242	17.3291064405364	18.1142538416522	16.4439595708079	18.0107191086336	17.9417770179751	18.7480637532806	14.3656689279196	0	17.9228219753309	18.8606194612929	18.691744586962	18.2775071308086	18.2064890373633	18.8699843871673	18.2964697840713	17.3824711817245	17.6625798049939	18.7079041402957	18.9946023819853	18.3689001795173	17.9152327192566	19.149997183895	18.1355251220042	17.7956330652977	18.3797019715011	18.3540155452741	18.507797420263	17.8121000430723	18.2603460143312	18.0261078851848	18.2042490978017	16.7832126084403	18.9088662571846	16.8957705860159	0	19.0697546285195	19.1465388141781	16.4380388434185	17.4904821929112	18.1668456503125	17.7921235120551	17.9087605482765	18.4163526643999	18.4380894240737	18.6963621365675	18.5291677776741	18.7051275013684	18.8009163824017	16.6610639337391	17.79533869458	18.0272949466664	17.283278695607	17.1751524346242	18.4531000181535
"24"	"K00053"	22.0041834919158	22.0775415079341	22.2354228335245	22.3952595858666	22.8104082907706	22.1606865009541	22.4001598540498	22.2384686745416	22.887383464724	23.2346132095713	23.1263931586944	22.098543521781	22.2191466462159	21.4566798349475	22.8430853728543	22.2583938827785	22.8690425397299	22.3739984552732	22.0833767993951	22.3089002936161	21.8118645621603	21.4949787092673	22.8621723292634	22.4134694002783	21.7303559819082	21.3501790018892	22.1728759221355	21.2612605750936	22.2086259172571	21.5790663961888	22.7303317438956	22.105574639247	21.1654823948165	21.7820825395992	20.9699570439121	20.4609736428685	22.2522098764443	21.8731154588008	22.1419371093101	21.2902792965356	18.7373356066456	21.2835270933821	22.0683124748888	20.9547056804794	22.7687874201867	22.0968988377741	22.3949539635101	22.7344818177368	22.4370672498416	22.8611010227525	22.9745827921547	23.0041042647079	22.7042920143067	22.4501080675671	21.8556737082098	21.9930830470085	22.8284149904409	22.6128567957304	22.3669470608756	23.2414048793242
