"ko_id"	"mean_control"	"mean_stress"	"log2Fold_change"	"p_value"	"FDR"	"SCORE_neg_log10_p"	"Significance"
"K25137"	13.4041401750243	16.3955050433626	2.99136486833833	0.0204752066625639	0.252536831478572	1.68877170607752	"p < 0.05 & |FC| > 1"
"K00334"	12.5134733831799	15.480485603827	2.96701222064702	0.0364317395366682	0.252536831478572	1.43852009164198	"p < 0.05 & |FC| > 1"
"K24847"	0.473298870875932	3.41678478195317	2.94348591107723	0.022926885785666	0.252536831478572	1.63965493253357	"p < 0.05 & |FC| > 1"
"K03338"	3.94276577879728	1.02145144951273	-2.92131432928455	0.0443245937263812	0.252536831478572	1.35335523639708	"p < 0.05 & |FC| > 1"
"K00278"	13.9675113560124	16.7137569563135	2.7462456003011	0.0221483520766697	0.252536831478572	1.65465858143338	"p < 0.05 & |FC| > 1"
"K00104"	13.6186467504344	16.3541590285551	2.73551227812068	0.0195093063123308	0.252536831478572	1.70975817243443	"p < 0.05 & |FC| > 1"
"K20904"	0.428887350937926	3.11946823200352	2.69058088106559	0.0360069435122378	0.252536831478572	1.44361374261392	"p < 0.05 & |FC| > 1"
"K01591"	13.9616617549186	16.6447152174327	2.68305346251411	0.0250200785039657	0.252536831478572	1.6017113319813	"p < 0.05 & |FC| > 1"
"K10108"	0.524693444644203	3.19435861777146	2.66966517312726	0.0460349442765044	0.252536831478572	1.33691237820863	"p < 0.05 & |FC| > 1"
"K07082"	15.4226656385515	18.0411864215975	2.61852078304602	0.0471669044709707	0.252536831478572	1.32636262524444	"p < 0.05 & |FC| > 1"
"K12524"	14.8139783694535	17.4265944971696	2.61261612771608	0.0203483720258229	0.252536831478572	1.69147033083599	"p < 0.05 & |FC| > 1"
"K01190"	15.121877554176	17.6720555807699	2.55017802659384	0.0259134577216063	0.252536831478572	1.58647463374429	"p < 0.05 & |FC| > 1"
"K01738"	14.6539709689698	17.1854331172422	2.53146214827247	0.0433842331379375	0.252536831478572	1.36266807475719	"p < 0.05 & |FC| > 1"
"K02563"	15.9118534825383	18.3681150825767	2.45626160003847	0.0377585686440171	0.252536831478572	1.42298447734503	"p < 0.05 & |FC| > 1"
"K03536"	2.36166597375914	0	-2.36166597375914	0.0228665764986091	0.252536831478572	1.64079885153042	"p < 0.05 & |FC| > 1"
"K25144"	5.97665758663496	10.0578469443491	4.08118935771413	0.0566403779873406	0.259541110469249	1.24687385706143	"p < 0.1 & |FC| > 3"
"K00809"	5.7592816369476	9.6895040717059	3.9302224347583	0.0568715580709509	0.259541110469249	1.24510487351771	"p < 0.1 & |FC| > 3"
"K01224"	10.4570946367772	13.7169128889279	3.25981825215074	0.0582753311317359	0.261198359179745	1.23451525005488	"p < 0.1 & |FC| > 3"
"K11176"	7.51120343228377	11.1924861015971	3.68128266931337	0.0622340450350866	0.263194944126611	1.20597197019784	"p < 0.1 & |FC| > 3"
"K08321"	7.73720843793248	4.16776614985164	-3.56944228808084	0.0626117741970954	0.263194944126611	1.20334398966495	"p < 0.1 & |FC| > 3"
"K02528"	8.17888646567658	11.6388817312237	3.45999526554714	0.0660981638427736	0.263194944126611	1.17981060472052	"p < 0.1 & |FC| > 3"
"K07803"	2.42804935199984	5.71093819547778	3.28288884347794	0.0606402833361943	0.263194944126611	1.2172387781699	"p < 0.1 & |FC| > 3"
"K07091"	2.36437708548252	5.47868246510117	3.11430537961865	0.0649113029609197	0.263194944126611	1.18767967321276	"p < 0.1 & |FC| > 3"
"K00432"	11.3702952614098	14.4828376652217	3.11254240381187	0.0629224413638094	0.263194944126611	1.20119443528172	"p < 0.1 & |FC| > 3"
"K01719"	11.3037158982145	14.3170384613594	3.01332256314499	0.0687414362110536	0.263194944126611	1.16278139841323	"p < 0.1 & |FC| > 3"
"K03402"	3.02173160388235	6.3985953106514	3.37686370676904	0.0706501498647016	0.264123345170527	1.15088691257913	"p < 0.1 & |FC| > 3"
"K10555"	4.89964065677517	8.41392816892523	3.51428751215006	0.0745623324703915	0.267359220715261	1.12748051477457	"p < 0.1 & |FC| > 3"
"K01000"	9.81986367508227	13.1415947529245	3.32173107784222	0.0757398918431796	0.267756519051241	1.12067531938873	"p < 0.1 & |FC| > 3"
"K16919"	6.79279459534424	3.59421587328923	-3.198578722055	0.0853780434035659	0.270925719198526	1.06865380208268	"p < 0.1 & |FC| > 3"
"K05346"	7.97805756055402	11.2948574185774	3.31679985802341	0.0919100735969785	0.281558555049476	1.03663688613488	"p < 0.1 & |FC| > 3"
"K01912"	8.14414835877166	11.4983756980467	3.354227339275	0.0951215357028894	0.283276160214032	1.02172114680498	"p < 0.1 & |FC| > 3"
"K21575"	5.96275049978642	9.22224714747971	3.25949664769329	0.0976729243737866	0.283276160214032	1.01022580910332	"p < 0.1 & |FC| > 3"
