"ko_id"	"SampleID"	"summedLFQ"	"corral"	"Tto"	"sex"
"K00009"	"X988"	627408.107790579	"C7"	"control"	"F"
"K00009"	"X989"	319859.934021787	"C7"	"control"	"M"
"K00009"	"X990"	171381.590808611	"C7"	"control"	"F"
"K00009"	"X991"	0	"C7"	"control"	"M"
"K00009"	"X992"	476185.544208507	"C7"	"control"	"M"
"K00009"	"X993"	370743.882411776	"C7"	"control"	"M"
"K00010"	"X932"	91821.0897163693	"C6"	"stress"	"F"
"K00010"	"X933"	116948.014344821	"C6"	"stress"	"M"
"K00010"	"X934"	153011.322046575	"C6"	"stress"	"F"
"K00010"	"X935"	326768.841105559	"C6"	"stress"	"M"
"K00010"	"X937"	245024.224779086	"C6"	"stress"	"M"
"K00010"	"X938"	149142.209787861	"C6"	"stress"	"F"
"K00010"	"X939"	304121.336630705	"C6"	"stress"	"M"
"K00010"	"X940"	270804.699734886	"C5"	"control"	"M"
"K00010"	"X941"	287985.309774329	"C5"	"control"	"F"
"K00010"	"X942"	381841.620434494	"C5"	"control"	"F"
"K00010"	"X943"	649869.414131714	"C5"	"control"	"F"
"K00010"	"X944"	129591.300377143	"C5"	"control"	"M"
"K00010"	"X945"	171833.704363145	"C5"	"control"	"M"
"K00010"	"X946"	46248.9278676445	"C5"	"control"	"F"
"K00010"	"X947"	403001.902733264	"C5"	"control"	"M"
"K00010"	"X948"	281772.718272295	"C4"	"stress"	"M"
"K00010"	"X949"	351255.005690836	"C4"	"stress"	"F"
"K00010"	"X950"	120398.287195798	"C4"	"stress"	"M"
"K00010"	"X951"	248348.193962072	"C4"	"stress"	"F"
"K00010"	"X952"	267859.310571733	"C4"	"stress"	"M"
"K00010"	"X953"	63892.6486424085	"C4"	"stress"	"M"
"K00010"	"X954"	278968.497442397	"C4"	"stress"	"F"
"K00010"	"X955"	150146.796273257	"C3"	"control"	"M"
"K00010"	"X956"	114053.843486644	"C3"	"control"	"F"
"K00010"	"X957"	218868.248655253	"C3"	"control"	"F"
"K00010"	"X958"	86849.679889549	"C3"	"control"	"F"
"K00010"	"X959"	96817.4008957424	"C3"	"control"	"M"
"K00010"	"X960"	0	"C3"	"control"	"M"
"K00010"	"X961"	90722.1062292323	"C3"	"control"	"M"
"K00010"	"X962"	91804.1109728481	"C3"	"control"	"F"
"K00010"	"X963"	314608.089967635	"C10"	"stress"	"M"
"K00010"	"X964"	162550.065360661	"C10"	"stress"	"M"
"K00010"	"X965"	15819.3616342343	"C10"	"stress"	"F"
"K00010"	"X966"	176795.106288773	"C10"	"stress"	"F"
"K00010"	"X967"	280045.193788337	"C10"	"stress"	"F"
"K00010"	"X968"	73025.6676018779	"C10"	"stress"	"F"
"K00010"	"X969"	450211.731855901	"C10"	"stress"	"M"
"K00010"	"X970"	192743.807654618	"C9"	"control"	"F"
"K00010"	"X971"	363901.770963521	"C9"	"control"	"M"
"K00010"	"X972"	160193.682030086	"C9"	"control"	"F"
"K00010"	"X973"	0	"C9"	"control"	"F"
"K00010"	"X974"	93933.4101520726	"C9"	"control"	"F"
"K00010"	"X975"	124985.605799254	"C9"	"control"	"M"
"K00010"	"X976"	0	"C9"	"control"	"M"
"K00010"	"X978"	421402.466287855	"C8"	"stress"	"M"
"K00010"	"X979"	68910.7338660597	"C8"	"stress"	"M"
"K00010"	"X980"	347447.661743191	"C8"	"stress"	"F"
"K00010"	"X981"	331806.019983057	"C8"	"stress"	"M"
"K00010"	"X982"	142569.491371467	"C8"	"stress"	"F"
