code_protein	Protein	Association	Loading_Value	Description	comp1	comp2	comp3
P31324	MEGAHIT-MetaBAT2-S968.13_contig_6351628_2	control	-0.0274370303215564	rank: C;cell division initiation protein (db=kegg)	-0.0274370303215564	-0.0149750883876525	-0.0269564667150062
P34179	MEGAHIT-MetaBAT2-S975.132_contig_1872280_99	stress	0.0273864719450096	rank: C;elongation factor G (db=kegg)	0.0273864719450096	0.0252037387084874	-0.020597453818385
P23399	MEGAHIT-MetaBAT2-S950.5_contig_1514779_28	stress	0.0273784184794989	rank: D;Citrate synthase, C-terminal domain [PF00285.26] (db=pfam)	0.0273784184794989	-0.0518551197310606	0.0219075401462538
P3694	946_SemiBin_296_contig_4307559_13	control	-0.0273394450098021	rank: D;SurA-like N-terminal domain [PF13623.11] (db=pfam)	-0.0273394450098021	-0.0537930087150866	0.000125199262164394
P37806	MEGAHIT-MetaBAT2-S988.9_contig_3041316_26	stress	0.0273287853397669	rank: C;chemotaxis protein MotB (db=kegg)	0.0273287853397669	-0.0468969216377187	0.0123962219463664
P27290	MEGAHIT-MetaBAT2-S960.192_contig_80448_115	control	-0.0273176992887552	rank: C;biopolymer transport protein ExbD (db=kegg)	-0.0273176992887552	-0.0320165121942472	0.0440836980730752
P33105	MEGAHIT-MetaBAT2-S973.125_contig_3453383_9	stress	0.0272961155725196	rank: C;protein deglycase [EC:3.5.1.124] (db=kegg)	0.0272961155725196	0.0235119473104223	0.0226331840827602
P29024	MEGAHIT-MetaBAT2-S964.154_contig_4541995_5	stress	0.0272947938884901	rank: E	0.0272947938884901	0.0330820823204294	0.000505037357736818
P14350	986_SemiBin_166_contig_1142843_29	control	-0.0272802117231044	rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)	-0.0272802117231044	-0.0429750820806562	-0.0252528350985822
P36253	MEGAHIT-MetaBAT2-S983.160_contig_1010786_8	control	-0.0272788511377773	rank: C;glutamine synthetase [EC:6.3.1.2] (db=kegg)	-0.0272788511377773	-0.0114251219101682	0.00958566132615389
P31905	MEGAHIT-MetaBAT2-S970.191_contig_2451156_3	control	-0.0272678435003159	rank: C;ribosome recycling factor (db=kegg)	-0.0272678435003159	-0.0195783534549649	-0.0566230918607229
P25132	MEGAHIT-MetaBAT2-S954.88_contig_2519013_10	stress	0.0272250249474315	rank: C;small subunit ribosomal protein S1 (db=kegg)	0.0272250249474315	0.0254946326823944	0.0332982289348165
P23187	MEGAHIT-MetaBAT2-S950.5_contig_1514729_4	stress	0.0272087394612641	rank: C;lipopolysaccharide export system permease protein (db=kegg)	0.0272087394612641	-0.0316014349196861	0.0232832464880018
