X932	X933	X934	X935	X937	X938	X939	X940	X941	X942	X943	X944	X945	X946	X947	X948	X949	X950	X951	X952	X953	X954	X955	X956	X957	X958	X959	X960	X961	X962	X963	X964	X965	X966	X967	X968	X969	X970	X971	X972	X973	X974	X975	X976	X978	X979	X980	X981	X982	X983	X984	X985	X986	X987	X988	X989	X990	X991	X992	X993
29	NA	15587.7841903502	16425.2724934705	NA	NA	NA	25546.4767674547	21151.9156678939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60820.219915913	19589.8301470536	61645.04807704	NA	NA	NA	NA	NA	NA	34690.2583800602	20150.7089462492	NA	NA	NA	NA	NA	NA	NA	21401.688629032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32455.2035890002	NA	NA	27264.9935133363	NA	NA	NA	NA	22825.0684436634	NA	NA
30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51455.0755631787	61139.9182807908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52316.9787131023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18763.7503555765	NA	NA	NA	NA	12328.5212327334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15966.1461334287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27822.8903537071	NA	NA	NA	NA	NA	NA	NA	NA	NA	33709.638311705
32	37851.9575424299	NA	50589.2100558722	62172.8427752474	48379.6532334653	NA	60669.1187850827	78077.0627947272	69715.5732220131	66272.8548408685	76198.1452959827	49422.3325156391	55518.7639457565	NA	120676.479463053	23875.8959300201	55648.7602831805	64539.9694036025	74053.3387054882	67611.9454730105	31854.1812772478	44149.4277157752	NA	50365.1825229933	18436.3590778938	26992.7700417105	47730.6159819773	NA	72425.6307170339	40566.2940141026	113728.67963663	NA	31755.8088065997	48183.9443491513	NA	NA	49826.173567983	NA	68393.3868844366	NA	NA	NA	NA	NA	113255.58867816	25896.1666666421	91041.3056415015	57341.2709968682	83708.1660460818	53764.1328685586	46333.8743136095	106887.546831455	93201.6635173564	44508.2113827652	56635.4311958273	75367.4747431405	104020.179443126	36647.8718565217	103411.642453751	114647.296056307
33	NA	NA	NA	46746.0869432635	7451.92582270353	NA	NA	23799.2671986913	45095.3325246709	NA	44005.230165321	NA	NA	NA	57579.5407431069	NA	42592.31232787	118951.030095563	NA	23021.0102987639	NA	NA	12429.2110698654	NA	NA	NA	NA	NA	24734.0294746979	NA	NA	NA	NA	39039.5120339002	NA	21308.8015477182	NA	16604.2527199083	42949.7970336909	NA	NA	NA	50739.4169407291	NA	23648.8883514275	NA	45892.3393367419	50458.6566728284	NA	108696.656915638	NA	61905.1296205179	47548.4380269784	NA	NA	NA	NA	NA	15397.5762216188	75091.079547025
34	21338.3601603402	13201.5815712993	9729.67954907385	NA	9799.44848089422	NA	21930.9547504212	19335.1882810259	71517.798626238	90448.2897317186	37616.837852451	46269.6299040354	95166.1128825849	90083.2354186431	44837.3255090267	11348.8892348761	51734.7451230241	16259.0194869547	9632.52220478366	14251.0201831159	54379.4135397699	7066.05742379116	10317.8465199701	17190.1549595308	7370.19691294937	NA	18742.7505409042	16049.2544362431	20830.2514091299	21712.6484557973	65921.6536767949	NA	NA	NA	NA	17099.2509557436	NA	NA	13893.1572171993	NA	NA	8761.47564871178	NA	NA	74356.3823646394	19501.0552328957	9517.25973140987	14066.696312523	51289.763037509	25252.1534903167	60211.3371319422	19815.4715051754	25719.1887753208	17787.2049812592	17434.4012793664	75077.2814629319	18297.0168679004	79338.2098829701	57410.9441929239	38762.4087850366
35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24045.7683706083	NA	NA	NA	NA	NA	NA	NA	NA	28083.0764452376	NA	NA	NA	26384.72128013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	33592.1209215483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59476.3799949851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	64640.1351206817	NA	69315.6050439613	128092.07291871	37880.3175567288	76080.1699836058	81006.8122199591	66940.1579782575	108264.248861617	148090.426247946	58060.2059773676	62731.8146413298	154036.633317813	48877.4826246911	98799.0029581404	NA	72971.7421824064	77209.8815378021	27591.4210961943	37972.9293733338	NA	NA	62278.7616065996	34852.9250300402	NA	NA	33852.1507758241	NA	66015.846427656	56718.1548686176	80519.5999175333	NA	NA	NA	NA	NA	NA	NA	NA	NA	63569.7073536684	NA	NA	NA	84334.8912933481	42540.7634408883	77281.3685990826	76501.3685888999	92816.4154428555	45590.9390026281	78531.2205071526	107979.788004762	60670.161511355	26454.6311309099	35583.3001171162	62093.573191986	80367.3036957064	70021.2288680136	38304.5288596263	98902.1155344311
38	40585.4450198558	69142.346828022	59516.6139347118	NA	52372.9992759464	41886.3552779085	NA	80460.6466499848	83284.4967645884	34152.0771683117	NA	NA	94219.552608241	NA	NA	43490.9677785002	79678.6800685214	40464.8160562618	33843.0667246721	NA	46702.2900289103	NA	83819.1291975324	48173.8485278129	46859.9405968111	55964.8358679941	38999.0425492859	46637.6889369796	54564.999239444	NA	59275.2652589614	64807.6377617175	60182.4081014373	NA	47443.855680024	50773.2035839466	122595.729061383	101981.844035838	62084.0512203509	49979.4998339008	NA	35879.5851105069	58936.6750503593	NA	NA	34783.968308207	NA	68241.4676165154	63235.1718367986	37768.2531197915	25078.6982256363	34316.3258457424	57397.7767967183	46465.0880078257	66908.3940895551	27233.2551919479	44542.8245888505	39908.5037350469	60621.853986188	81630.6859129506
39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30432.2907672294	NA	27241.1052736821	NA	NA	NA	NA	NA	NA	NA	63280.1654616352	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56143.8063495454	NA	NA	NA	NA	NA	NA	NA	NA
40	25119.6459718764	NA	NA	96533.5305264213	NA	30194.3382183441	48382.3716714242	NA	90641.2570683639	79487.399991407	60344.8611357298	NA	88329.445970405	NA	83474.4294581975	NA	52069.9119210438	69584.5398887624	NA	NA	61721.5826164173	NA	NA	NA	NA	NA	NA	NA	36976.9186508899	NA	41128.4859189204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23063.1715409905	NA	NA	79835.2651989946	45640.5719662248	35076.6813825767	NA	115346.957283093	NA	NA	NA	NA	31635.5026215675	NA	29523.6336324982	34973.4197794736
41	NA	NA	NA	NA	NA	NA	NA	NA	NA	33059.8506626829	NA	NA	NA	NA	NA	NA	NA	20381.6789028896	NA	NA	NA	NA	NA	NA	NA	15886.8389073671	NA	NA	NA	NA	NA	NA	33204.9713495002	NA	NA	NA	NA	NA	NA	NA	NA	16620.7798494649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42176.2827026817
42	NA	37564.406935975	NA	NA	NA	NA	NA	37115.3049142507	NA	NA	NA	NA	18139.8799644412	NA	27476.9908217094	66767.2760051951	NA	NA	NA	NA	NA	NA	NA	26340.8929333635	39535.6725858214	22478.1828732605	NA	37955.8390998485	NA	NA	23512.1388599068	36747.4043564065	41585.3613286632	NA	26473.5943537894	NA	53931.7161229628	29960.0286076712	NA	NA	NA	63076.778432977	33745.3327706978	NA	34304.1011592866	NA	NA	18603.5888771117	NA	NA	NA	NA	NA	NA	20006.1578948631	NA	NA	NA	NA	NA
43	30566.3017358519	58054.4876501837	32578.196292228	42519.5935938233	48944.7979567206	24139.9721410119	31978.1938140463	43130.945961462	31599.742028023	32969.3689645772	46517.1793252615	32517.9744871243	65241.4266422835	35482.8391774864	48605.4828745325	51892.2636309636	44966.4709361061	26672.4023151274	24090.3796595219	30446.9796188137	29999.4460182886	NA	33665.3459386273	29259.0933018236	13847.6888902113	45169.5898605067	19859.7947882986	59663.1092997536	27490.6348451903	NA	27102.8008119746	73137.8662607236	42699.4361199096	35578.4549426217	33944.2698420518	44230.7226290273	58283.660622271	37055.1948588484	41955.5503452916	46405.5388533417	NA	57834.3583437973	62185.6668385494	NA	34632.9768929046	18201.8718502791	28025.0869495658	31988.2574463095	31991.0064678523	27574.354727755	19265.9995507946	30511.553654946	28114.1696864173	28376.3293584235	28031.2751864111	12285.8749363891	16068.0861001382	17054.5825130889	15667.5765649389	32217.9348516202
44	NA	28932.7623514482	NA	NA	15841.0542238982	44712.3931765292	NA	NA	32100.3549169037	NA	28087.6064126839	NA	23092.6601255996	NA	36039.1797854465	NA	NA	34508.385264939	NA	30199.5081881319	NA	NA	NA	NA	NA	NA	NA	26794.142260866	NA	NA	NA	45187.030739683	NA	27455.8750235428	NA	NA	NA	28078.3615995054	27712.2625879754	NA	NA	NA	26786.9167758323	NA	NA	36446.4345559471	NA	NA	NA	NA	NA	NA	NA	22900.149873849	NA	NA	NA	NA	NA	NA
