X932	X933	X934	X935	X937	X938	X939	X940	X941	X942	X943	X944	X945	X946	X947	X948	X949	X950	X951	X952	X953	X954	X955	X956	X957	X958	X959	X960	X961	X962	X963	X964	X965	X966	X967	X968	X969	X970	X971	X972	X973	X974	X975	X976	X978	X979	X980	X981	X982	X983	X984	X985	X986	X987	X988	X989	X990	X991	X992	X993
P57	0	0	147483.95050752	145467.680131762	115154.666357106	0	153983.694008658	0	115909.820598724	75668.3928463992	102330.42814456	155138.625020361	0	67569.6781899026	0	0	0	0	0	0	0	90675.6560634942	0	0	0	0	0	0	117295.83425375	0	149828.360030621	0	0	0	0	0	0	18642.5763443029	0	0	0	0	0	0	0	0	0	111057.127388231	126824.221530777	70218.9661783588	73019.8985883924	93718.022643723	98667.0348317941	0	0	53737.9106987539	105931.063803118	97753.7374843879	27463.0086407441	0
P60	0	0	0	0	0	0	0	0	45833.6756992105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42144.8178472899	0	0	0	0	0	0	0	0	46126.1906262128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22976.1313565532	0	0	23175.514693438
P63	0	0	0	29398.3718884942	0	0	0	0	54189.7662420367	30619.0025081999	0	0	35097.3006590533	0	49160.8176503831	0	0	19731.1774474895	0	0	0	0	0	0	0	0	0	0	0	0	0	36520.9079629633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40033.2429001499	0	0	0	0	0	0	0	25880.5252518212
P64	88779.7179533102	0	0	85621.6953694738	295324.157856609	33976.1024198172	145238.424478875	136264.95698422	63458.4048297477	255767.21419105	143272.550947539	144673.080899448	25510.701066834	0	148748.158592845	0	342924.458591112	103847.73205278	171657.062871798	239922.284945422	78625.6532838453	0	125773.445615705	283629.755636062	100876.761788425	0	0	0	122998.998944025	28945.6176209164	0	34847.2118111619	0	0	0	0	37936.0731697204	97158.2225922805	96854.6559754049	0	0	0	0	0	60629.8290910776	58725.4276117246	143545.001636791	147034.2231689	129167.513564439	449966.789556383	334994.72182968	237158.118528019	353435.515721012	258747.934482382	0	109889.874130453	73305.046928796	0	92365.4505159064	299850.112500772
P65	0	41789.9722083392	17500.1701583584	28097.3743199554	73615.2467921341	0	30262.9572162567	33673.0244538124	21310.0411428907	31039.5838360891	35286.9891320681	0	0	0	24505.8276097758	41421.134623881	47430.309175014	35151.492659929	26077.4133412797	38046.7240862801	0	0	30794.1956920327	28755.4207241756	44027.0523772515	53917.5289543199	0	29730.0133796905	0	0	16767.0627713029	28328.4436441791	21072.5621501861	79569.200650506	51517.7328874459	0	91511.329774612	56386.790618649	66498.3270686171	0	0	0	62053.5250909577	0	33690.7696335721	0	28724.9854056518	31841.2760849275	53127.5002070168	29908.5015883165	24755.490111165	36617.7960254734	31189.6675724243	58376.3932815374	0	0	18408.5690601778	0	37751.9786647343	87056.4852159357
P66	0	0	0	0	0	0	0	12841.4158289444	17834.2874052436	0	0	0	17176.2064614116	0	0	15205.4972337574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18592.8438314873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17992.2021133835	22434.1990322127	0	0	0	18388.5258975616	0	0	0	0	0	0	17449.7936493624
P67	0	0	0	0	0	0	14744.0385102556	0	0	0	0	0	0	0	0	0	0	0	12285.1359099634	0	0	0	0	10968.9644977821	0	0	0	0	18026.4880346852	0	19933.039648511	0	21781.9251553158	0	0	0	0	0	28067.0232244338	0	0	31211.7361159033	0	0	15614.8662475199	23217.8975071903	14151.5966707498	0	32087.4772571621	19485.2960180328	21455.9981728567	22035.7579261818	23467.9933519255	0	18453.5631111569	29728.3429531674	29955.1570531481	30767.7644777229	21297.183849152	20167.2862859525
P68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19525.0728899846	29334.1370406853	0	0	0	19743.1415333394	0	0	0	0	0	0	0	0	13507.6041392149	0	0	22443.3063947606	0	18070.8707326644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22485.0933251798	0	0	0	0	0	0	0	0	0	0	0
P69	62534.8197150449	22276.403686275	77555.1615810796	161444.229024854	89252.5786886608	0	96682.7109837148	114145.78298477	132731.940115344	167516.849102277	90637.9017675962	35655.3263031111	89095.7786409527	0	173728.976999612	100957.747730614	159284.90196736	109563.03972336	87701.7860780256	94279.2382152864	31334.0967497465	25016.2772078688	131145.494198134	34789.57916941	32150.9396079374	54570.8428056614	37563.041231039	48075.8031323273	61139.6353713528	0	145036.94771449	82360.1312320093	35928.9044008048	76170.5476621586	19633.246383882	0	96686.4178821408	67022.6906261977	55993.5141898623	26313.1001693343	0	35594.8747572917	0	0	150598.701763019	51176.8501915854	73833.9678236651	155589.072168531	111692.933704707	113468.708124783	99549.6368894451	202031.383742684	113600.196473175	74213.48666877	79437.0786925639	50324.2484908429	93219.9017777534	46713.4052447731	76338.5038424942	195031.942874306
P70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46026.5924029324	0	0	0	0	0	0	0	0	19791.1620440697	0	0	0	0	0	0	0	24668.976373567	0	0	0	0	0	0	0	0	36038.4412732195	28928.9374809527	0	14341.5733863422	15836.7824207891	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P73	0	0	0	0	0	0	0	0	11849.9922528375	0	20922.684399535	0	28392.4656475728	0	66617.5595592563	39754.5518306509	47280.8025478866	52633.7150502883	0	52926.8925794862	0	0	51520.4573683052	34900.6485305687	0	0	0	0	53220.5421738714	0	51981.6303936347	29398.0998221304	0	0	0	0	0	85303.6347700493	89745.2791914531	0	0	0	0	0	0	0	25462.4496672666	48117.6754432084	34403.589882145	29919.2587375167	55220.2081885677	38183.2073668646	59271.0336326674	53460.8750454784	0	19530.6752400179	50477.839455929	0	0	60394.7444491698
P74	0	0	0	0	25484.6265533256	0	0	37817.0935929804	0	0	0	0	0	0	0	0	21879.4633738387	0	0	0	42314.3192794753	0	0	0	45275.3836936289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P75	0	0	30717.7518245787	45903.8079736634	0	0	28239.4659741585	37051.5453070685	63854.9598213664	46155.6239275159	24578.8490137459	0	44391.9130568794	0	73810.0562861675	0	0	42952.8918067519	21767.9485511054	72716.2450114379	0	0	27222.6179814477	0	0	0	0	0	0	0	36167.5529753935	37139.7002979802	0	0	0	0	0	0	0	0	0	0	0	0	34109.4581437494	0	26619.6132101487	49188.7731043252	30621.8160368308	91001.7147326663	0	58599.9414520723	0	0	0	0	61111.5530219477	0	0	80110.9037710171
P76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28954.7651727726	24287.8537412924	0	5129.30543810128	0	0	0	0	0	0	0	0	0	0
P77	0	27835.0500894358	0	0	0	0	0	82951.8652333036	0	0	0	0	0	0	0	0	0	56406.6983070794	0	0	74826.7769213804	0	168257.52565926	0	0	0	0	42339.6688823407	0	0	61873.7098383862	0	40185.1393959459	0	0	40031.0464947739	0	0	36363.7949844457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129468.587980734	21262.9590707293	0	0
P78	21239.1622182142	0	0	0	36900.3688820782	0	0	0	0	0	0	0	0	0	0	0	63854.4532977401	0	0	52496.7403143612	0	0	0	24490.8155045784	50700.2901368889	0	0	0	0	0	0	0	0	0	0	0	0	0	45834.7664308313	0	0	37115.7465392701	0	0	0	0	0	0	0	35832.0152064813	0	0	38935.0838172309	0	0	0	0	0	0	0
