Bin	X932	X933	X934	X935	X937	X938	X939	X940	X941	X942	X943	X944	X945	X946	X947	X948	X949	X950	X951	X952	X953	X954	X955	X956	X957	X958	X959	X960	X961	X962	X963	X964	X965	X966	X967	X968	X969	X970	X971	X972	X973	X974	X975	X976	X978	X979	X980	X981	X982	X983	X984	X985	X986	X987	X988	X989	X990	X991	X992	X993
group10_bins.334	331958.7911001977	75330.86386006117	230251.82200500884	312188.82086664694	283585.91758989246	929593.5970794213	467540.55278952187	64393.62476069176	808234.9563582698	941098.294895235	173966.0592832772	151012.47538742903	727685.4838664256	1000748.977620712	369136.97065204487	130195.43650723784	110533.37868939557	265290.3652666307	77167.9267287239	89721.76232680408	196225.8759228024	142465.6995985221	411982.6350653192	193982.7218769358	69448.24367940277	43850.66114324272	149482.0853535587	18420.266933607487	190016.74115997914	289154.78514849546	857107.4795813529	238495.3509275369	39434.94796390746	51537.846084366145	55109.03580133096	53313.535631100225	62671.880519592705	172549.84311800174	30105.35015244293	117350.58804326328	633591.1238678199	68501.39340239756	67293.06080215103	89129.00193881014	592962.6509302186	456007.78162177384	362047.6291964494	399726.9375100498	441150.79810823465	391147.0924698581	447343.2097339068	433564.071598656	428210.27531042346	163306.65609199752	375000.56681691634	639930.6601242038	772402.4085606239	930928.6254499462	498513.76865876117	583120.4614260168
group10_bins.379	0	7678.123283668111	0	0	0	48581.102316505996	31172.916148818305	48735.69124442083	0	4036.105923120028	48512.335529970194	34099.06528266815	18192.573409261408	52879.087477237714	17501.917051909775	80332.7627566639	84563.4035774794	27949.216308817868	13121.201022659934	116485.89861562906	50296.883152142764	23163.93576905452	13810.214917373167	18271.562522199107	11158.644876407612	45385.41532542507	20361.3313075011	58429.297435289875	18261.4076019179	88860.4597544985	21896.26271137406	60034.51325466276	58194.032827656134	71650.01584182563	28191.08443240775	99812.1561647886	41116.31003935016	11378.74902450188	42105.396719619	161093.37392481157	56167.04396681546	24404.38784452867	0	0	17943.504762648812	0	0	58051.52089986954	41947.341061423285	130508.90597831427	278880.7273173184	0	29673.193038915826	38452.90924907944	51573.12257133291	7681.448469737543	24610.799272795295	53036.06596692825	0	13956.34786827665
group10_bins.399	252230.27588891317	347005.9722880279	277796.26253327803	368380.1135549732	196140.55769464956	262935.4515053377	568573.82876206306	236432.96354721894	467705.5052716913	423434.2238881002	218052.94793383434	389159.9780939851	365357.1662745585	229620.6839072131	300791.9512089078	201923.92036158047	222105.41778148123	251234.02186989214	100886.1858637471	248305.29377316983	204989.84113524805	173650.11357747586	420905.01239336526	160210.70828784484	159203.70835865856	118445.27434229758	165579.55947392157	234026.15341827978	227225.9337775908	907634.06726528	281336.9339580957	270640.05695855594	139451.98555556848	153184.77705547682	158233.44901755356	302736.4201609674	201679.49063949948	373409.7220977334	263754.21719394735	320615.0038230723	247467.04918131905	111691.31397326481	273011.32733726635	0	243043.11217328339	218082.65028953183	338874.55021320964	343972.59240401874	378693.63572900393	139271.14854760212	299124.4786759647	105467.06404239232	173408.11807087535	174195.43383441257	401545.02711836825	227498.72585948248	440463.8869691245	375651.7771297529	267594.35098912386	409237.6488109313
group10_bins.56	436339.66474791255	560182.5827921379	709842.5678080567	1101927.9750712914	930208.6944925962	869498.0862329989	787017.0746679157	854657.985697807	1969245.0680542958	1377045.6364711644	1242849.3144418746	515136.5365675783	1892205.5127483925	479200.8084112754	4767806.588251777	1371159.7710077858	1130396.2640032973	949924.1819367304	619985.9845552783	847685.0030678696	490517.5810273625	190954.2024228769	1443582.6378597033	1636982.5996847302	713650.6906865962	520351.12457713817	994267.1616396338	427567.16938605346	888922.2139051057	431931.37999473524	1301789.4866964556	2581414.8174379608	383709.4794431284	624830.0856989378	917899.2419732935	219993.12434336735	2722095.2817930547	587653.3700904772	1270723.8262861005	660956.8423252446	154631.56246693648	774560.287601374	1641557.5588975118	284985.44645751524	1410820.6955594528	733741.807236138	719261.7322290991	1591352.9566445893	1513357.5009934548	1274396.8876586296	1124829.796303312	1725192.4837204074	784249.9053890097	502670.9388494155	498260.66890635213	635246.9794243803	1471696.5885013016	1319845.5027910892	916502.2846440241	2577701.8701755106
group10_bins.7	1770084.46318624	2644903.609776184	2749462.3408618914	5571241.732887702	2436903.787047711	2514851.637837196	2039770.8934460324	3874476.5763030336	5965274.237986063	4360791.589026018	2709114.1429150905	3969177.2779536904	4844456.635817494	1550615.6525612087	6119320.687338403	3516738.7909855423	2756962.7499804297	4026011.8613028536	1607708.471213063	4756926.246751401	1149351.9600104047	1970240.776475935	5838646.153470474	1891955.600186069	3360860.85683488	2892318.073522943	3089275.2121244455	2431308.330607144	3869927.152526227	2161710.651953606	7638178.1198956445	2343255.322379726	1869956.697765181	4249130.904202141	1563240.0137516016	704092.264235348	5005682.784495324	3965467.722835702	2596454.1644859225	2974649.1839853134	901725.666653035	3135928.4470501156	3222225.294638253	863244.8436976387	6139335.97898922	2007917.3760616784	3631130.1123836893	4272256.094260866	4827664.296495941	3289382.054436749	2523157.509018823	5103795.876133156	3930197.6026912285	3430104.7713466994	3637852.101558634	1903782.13723764	4543842.597059875	2025987.7944981763	2923242.1073522037	7844146.371492752
group3_bins.116	96597.59737647115	71226.32377632061	86121.60135536033	23107.808065918623	22747.781996456863	123831.62213836008	124720.25509299879	33336.18184071613	81106.74149581615	106651.21469982393	142567.0668970875	25480.49955076238	87294.72307355292	113018.5116349246	123751.31189983214	0	73951.97964958844	18370.921025521206	92310.91112503389	0	0	45025.778028929446	119468.91709767985	20654.375952410064	0	0	21725.799653714	0	54873.359469906536	0	71705.1396440589	63702.74148633068	0	26422.38639532173	36972.91019994642	0	24953.7641248371	51177.99271849824	63659.23497765412	29980.19655431609	0	0	32769.38632368719	0	60104.007573880925	139166.26816032728	162789.5027969234	96892.95793095583	64634.35753154755	54346.4183885809	80749.87978835017	100487.25342807526	88671.44847271965	81057.37775363278	25271.941969906035	144855.50101373895	98818.54208138518	99204.59791324062	147267.67076899981	154638.7991658971
group3_bins.117	0	61059.20319594664	0	19744.159532934344	43517.71268410004	0	0	0	0	0	20937.170114355027	96606.01689743964	48258.948901309974	0	0	47429.43129428382	46798.068746492616	40192.312275660915	28331.215248455002	60321.35658006927	66561.37694171655	34201.57652874	62778.28487357223	22229.728579594375	34353.32126301004	71712.76900283815	0	68134.27886746179	0	285099.58963015326	0	65258.36923675277	36502.95098463924	24281.46462739653	113132.00609325443	84276.94828773309	40732.54314996537	76245.14057356834	69280.33320681014	80444.36765746126	0	26741.907682691304	39517.01693494022	0	12310.865544533326	409579.95259235066	15228.461883929778	19598.02895651663	0	0	0	0	22997.76934391346	0	111332.36394514245	16303.89967450717	0	77889.73060501326	50020.55022895567	37964.7973586791
group3_bins.134	328358.8909775042	185044.359662058	674064.8496723287	2580987.481326127	372443.1186071455	401415.9327184371	1774111.0354456631	2732294.878437352	2443612.4922369686	1424693.6886383074	1372497.0110353823	558671.8121909514	2381303.3065326186	422557.3064985873	5162659.898917883	972856.008293058	1788766.3476472176	3464672.378300798	518461.4599385534	847028.3482248097	1002897.4907932457	398064.68820568675	552903.7079811341	523873.4802033445	251226.18688473536	1154348.0089515203	920546.0184637901	317879.6345367125	1178668.815459959	1137776.1758856492	2806176.5996547625	352096.08807087713	177377.04591289893	2350503.4570620162	533453.5841500504	501603.72642783506	2730094.8052300583	2292355.942056126	381386.7708265261	521542.46201209497	311140.4897961237	242638.94336108962	272603.56996126054	378844.3169774047	3111659.235784814	525716.9494806819	2362805.367920268	3128721.1216636794	3579657.30678868	2049825.0542918902	1812677.6894814053	3484092.901654392	776643.3796034943	840954.4854629908	6106173.92903761	731452.5983605583	2477678.436107152	703668.1362732764	2056128.2260110995	6185228.6019841125
group3_bins.177	4383830.857383051	689254.4205436317	2158868.3155637886	110093.69220954078	157024.18675145524	26447.56713183993	1330250.9333469684	4091835.60148971	192156.91276758484	679028.0797914838	139769.07094191803	1661361.4093485596	879885.0401048944	140752.66972787978	1142686.2718032945	175542.6120877493	492262.42644962814	74409.48579668147	1627110.1067630951	787277.6502280624	5009678.296943746	125998.64317681218	350949.43671979633	1408463.078626248	62877.102412962304	150667.92812460213	82289.71215402731	496383.0172054168	9830241.201658174	1668803.4467045397	491311.9104540097	132408.5460474784	79925.9918131301	40233.434910405966	577763.6312333934	1050370.6091942948	266779.92323459685	276792.35352003603	273357.5263008886	141866.50292902227	79107.99427213658	486422.93633297994	74351.27761895437	310433.87383083464	140236.46684448145	36574.696466529414	117545.94575830782	599291.8686114267	4848274.952293389	56271.55861699479	416694.25223924994	75318.17777323449	101850.67487909531	257082.67569890586	71117.92662411647	511062.39974218357	1033305.8154518394	115595.76957533046	122365.61702440145	177826.8003069802
group3_bins.182	1311428.444482611	949766.6585566938	1193533.174128723	4150276.4207770736	1135735.1263247342	787811.5058403595	1373790.3241926995	1253386.4760119396	2951458.7359192003	3125595.2406110307	1926188.1108029198	2219657.3853519466	3481007.7927172477	1622878.5402040891	2590651.9136132565	973174.8027783446	917978.6974682775	1803682.2085751717	1115896.997819942	913280.3499600175	989774.4569675967	2234661.610149327	2125121.7079831995	625877.2384753937	518504.82906827086	798360.2427684627	1324343.37462697	703125.035966965	1362268.8570803804	2219153.638966904	2467654.1839580773	1650446.1367203703	849091.6005940094	1204892.3396060844	997278.571160885	1001840.4532250782	2784046.156477481	2724553.5744029344	862274.7679093521	1824237.8136836903	1019249.8912650386	236324.64152486	485574.6537791345	247779.25231151574	2573993.6056864746	1398760.5950970238	2278358.811956718	2711508.138410833	3057279.118911713	1204514.5100429438	1462379.9666316367	2190214.9647908076	1414930.3222978346	1151399.4916285523	3350809.587020543	1740001.291246624	1906126.2585480164	1056679.3132305704	2569125.321541528	2441774.1250211345
group3_bins.183	297501.8894270812	916245.6408351068	3631388.4028599947	544950.0002524569	49115.70501956971	210072.34934504647	724883.3634019869	729948.5721689092	714230.8363896171	423754.35558300174	149951.36021291924	151034.71636368125	1236762.6230431953	160473.98882746548	478457.28343791683	135239.3284574474	833444.1794236215	45466.591242148126	173205.80799585528	29954.46401016713	354274.1915988838	189212.82514472285	178645.4411043549	481293.0218709063	561671.4151134618	337613.9240511556	324555.3403630998	3060646.447938045	522038.95238138124	1995356.8488888964	361446.62006861315	204884.09682740128	115991.06693956126	176204.1991505188	238121.11708020803	2005112.8615763173	5518933.912491363	270304.00910501747	0	437951.57986491866	117001.40930013973	253460.84694845945	0	52389.273426071086	317619.79762480955	84489.45598047314	303320.40734238835	509859.5914502541	259805.42681381697	0	476833.47599033406	556538.0477886011	186686.704673387	244834.8606528997	222723.95889471791	203957.37440828473	641057.258119466	43434.03224748586	403158.48287118267	111182.58387937411
group3_bins.185	33267.42135502014	24518.806645276858	62506.12641054284	17126.864416988836	56641.01715325405	0	180178.22506636276	97802.82041258826	136500.740672078	87862.9683223724	106500.2214692314	78127.47301226085	67034.80992049909	0	73821.44106315519	29980.969466635368	94795.10120346105	32969.136899327685	0	24401.387440695486	31968.767317371992	111399.22106450018	84392.53559638342	79213.01269437229	0	28719.11862987546	83099.11387445198	73620.5504620902	338297.7681079331	358818.63816986355	142339.68835299104	29020.49040934198	77698.54124317673	20698.386400002855	21389.03053958227	179843.9092757285	98089.10558452547	28933.986416808213	70896.4280652466	52016.44061497096	0	85365.01807336106	77130.04032567379	23967.247728146598	141800.5913172524	38614.82052116345	86072.38381967765	176783.4490493642	87493.36308958544	131973.62917000687	55067.146370554285	28981.886166090197	56610.47638363422	45854.483115735464	53833.90647907915	119207.6611975317	137218.97780839406	55530.959024351876	191831.54028956406	121603.71679870588
group3_bins.187	487865.8424911265	452098.25753936725	607753.988454558	989632.727016022	496377.6213901778	98049.7919841098	1108467.082995547	558886.7214005139	1580532.4518856108	687167.603569362	514205.63959935476	863845.094752682	787541.2303959304	194833.07793295206	708155.3609434227	1532050.6953589965	492662.13834055216	893511.3676606435	1003931.8280903138	866328.5905988298	1124259.5044535724	880964.9677780784	964566.259476955	573000.2707566444	812442.6437995937	716786.8916679658	1236268.2098813604	597523.7819653543	1214352.5995410148	1461956.5492908102	1840704.7866286954	363384.29217941716	181788.0521736031	449579.75054315815	871673.9261468006	568145.7995146327	583664.8228648464	1062317.4186187875	949475.2750010905	958680.4170299284	116162.78297268928	376865.4836327721	793595.7022483412	206292.57354181446	1146684.7300265208	407296.4752376098	1350375.7069749557	1189459.225503492	693434.5725481206	1024381.0995646247	1356081.8607728598	1025770.918639309	1049114.7997834706	824229.3449211182	932279.2392919544	738154.9918262457	1670921.3031678954	1144505.1210579528	1632042.9827737017	1192207.2781932103
group3_bins.202	3688847.930355219	2660160.929997238	3468183.756553432	1262325.000923942	2484289.990014222	1775229.3746083435	1676076.924554592	3791612.928424471	845449.1822110038	1155404.4157104278	885037.4172771303	1291662.9586592661	1458904.4685043006	888699.7921651877	1820020.454029462	1473537.536085041	3404159.617256807	4267134.776316723	2581029.942339185	2315509.8486626577	2085674.189797557	2699806.6051909127	1912896.4594902361	723679.3432811855	1398132.7028504969	802013.0020602355	764696.7036392101	3618082.102371729	3367494.30859985	5495388.6909454875	5089565.300195094	1575570.5339222187	1191361.3843867565	2243176.8542925245	2507906.605817636	1390449.0814735782	1155608.6048184943	3854938.9360304438	973709.7830514936	1625045.7272916683	820301.4901754976	747753.9324052475	694524.8318029202	263787.0802924305	2018331.2649276906	2517126.0481029633	2057747.6725487341	1942992.7919450651	2535080.431916244	1630534.642868619	3058117.2564203567	1129169.9320468947	514416.6189713408	3114220.7402261775	2239798.5826174137	1464255.576850532	1161629.983754729	1210301.0870278052	2636503.8433754374	2751678.898083656
group3_bins.206	85516.37271431876	82268.56861573111	38282.45557340416	0	82497.87836638441	0	187514.4870562743	125281.45205935233	415314.33267639705	22409.017297774517	79102.76908565887	87360.69989130372	956377.7223375716	237639.006373781	283012.96714140225	47595.639762773724	0	50321.695347301335	17282.490428170368	51861.81178179387	74343.02262343744	1439576.5242284222	80822.38734092488	21629.261012914154	33683.22066672233	35752.25766786076	67037.22406321288	45356.68306033708	95726.28534689941	1920005.309485488	118002.67519374171	79687.49215377224	68569.21022100856	29833.27031757787	41399.26427463593	38179.2952897858	94242.28915952006	37738.590041369724	36249.36317500767	392523.1402901897	0	60984.35431092134	50178.28900449641	0	90002.2991139029	42827.34949607365	0	57083.720247127596	25532.903099951815	47543.47214709878	50181.44022387377	110995.63768277064	24544.78534220338	22141.222930285156	273720.90418459085	131953.90309554088	93848.30402704442	192019.2942214666	253928.73928218446	63748.00374551782
group3_bins.223	224991.61610094327	335009.4822596625	614213.4293703625	405678.00284001464	245546.25898299715	281257.9277212929	191609.57093338133	245168.10068493188	640104.570645523	315568.6918159254	234665.7659963242	143301.60428079005	490282.5915741323	264196.6749050556	308581.25063122826	91299.48919125702	218742.58462956978	478543.9503441128	227728.61264369436	305285.2763197911	571474.86263187	118384.15508023663	188506.2544350943	195353.4326960594	164309.8383652296	108165.06847780012	34765.71627672029	260852.44811695875	425978.879035988	421901.5509264198	288755.62506230373	155826.37849918802	56003.4628793608	75737.78209675258	79174.20884113206	141958.66942205495	172097.38717241422	133848.8973689333	77403.8459800118	99908.82027410122	65354.042002872666	40005.677488915266	150601.1380032145	127354.18807266757	318839.1005321972	253904.16693125654	223906.79576274345	372254.4140356557	357276.018575559	242160.93350164412	194679.39645542417	159081.605426896	224741.36186730015	119024.02204207177	66038.28063066665	128385.70572852902	348196.5119876309	219428.62515578346	264879.64672829513	304431.1286862866
group3_bins.240	0	0	0	22684.743682569493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21471.53440059483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8759.825182046903	0	0	0	0	0	0	0	0	0	0
group3_bins.288	87942.70888761328	95021.19953132402	78375.34164693835	0	125931.02077168704	0	39693.26343164995	37648.65505413221	205365.47458858995	86076.27871473916	108537.34800284718	81102.34948196114	41547.11361610412	0	21335.764917507462	38339.84218043099	97569.1834782121	0	114870.64904618834	92583.78877866347	196856.317636912	91586.84839879612	39049.78439154913	11050.366235630832	133832.9812604646	106925.70819924463	109878.62239498779	109084.9648806556	77867.27048202252	28535.44599095027	38275.547629605695	35637.6300180996	156130.38596566248	0	45388.775609248034	49380.369424236385	37264.62751165705	166677.56336166454	79440.43945623067	0	0	95412.40244495284	162554.72301709326	191296.6545284355	0	33305.8294547947	0	35508.532201221155	87221.4574518355	116130.32019624862	86771.37963155707	60591.32584520564	88855.86718498328	90325.41868069259	0	36585.54403146069	0	33950.77760380039	0	95982.45308473933
group3_bins.292	212555.12992306484	381438.22222239943	203349.0301713139	171701.0996429735	200452.20314928057	91428.66589450484	519135.95379427297	184692.56753797407	470685.5685097608	543639.7624261696	434463.9139375726	394098.5499366846	308044.73707655264	123877.1525485909	351455.1815277609	315809.3200513004	327480.4773135156	624323.5478712389	419602.2217004454	521729.29608426354	549305.1581829853	814554.7238971272	791868.7868638191	377012.02374906547	36505.03655792995	397711.0103816868	484693.79607866745	262684.4152486714	530825.8672081189	500604.92631874	543663.2790432735	392779.9439062626	464261.43547858053	586468.7497065398	268119.47880692134	367996.0785356347	504441.47113632923	577669.2888648749	299222.7343887032	558372.097736014	0	307398.46820849215	107692.04558687136	459363.718144241	427552.50973298436	219659.24731561236	119755.21095560867	179464.6107164902	221666.937885409	75961.75544028301	283274.0494850303	130070.9046810833	283285.6941044324	88952.71734055343	369704.2681749214	221763.32030306364	314039.6961796591	300650.4378566897	305605.3849884246	668992.1229386709
